drug,disease,score
163,11,1.0
275,271,1.0
250,124,0.9999998807907104
275,196,0.9999997615814208
587,271,0.9999992847442628
242,99,0.9999991655349731
574,405,0.9999984502792358
268,222,0.9999983310699464
314,99,0.999997854232788
143,124,0.9999949932098388
454,405,0.9999943971633912
430,124,0.999992609024048
340,183,0.9999902248382568
573,124,0.999988317489624
486,37,0.9999860525131226
587,100,0.9999845027923584
275,89,0.9999830722808838
66,99,0.9999802112579346
275,3,0.9999781847000122
275,8,0.9999687671661376
357,124,0.9999666213989258
471,99,0.9999628067016602
83,341,0.9999622106552124
328,183,0.9999620914459229
430,351,0.9999613761901855
461,199,0.9999568462371826
367,99,0.9999555349349976
31,99,0.9999550580978394
268,271,0.9999531507492064
495,99,0.999947190284729
275,322,0.9999438524246216
154,130,0.9999418258666992
344,124,0.9999407529830932
587,8,0.9999377727508544
337,202,0.999936580657959
358,228,0.999935746192932
486,134,0.999931573867798
268,38,0.9999223947525024
202,199,0.9999204874038696
447,80,0.9999170303344728
501,89,0.999910831451416
387,16,0.9999001026153564
400,405,0.9998998641967772
120,405,0.9998998641967772
245,404,0.9998977184295654
275,330,0.9998959302902222
148,134,0.999892234802246
109,243,0.9998847246170044
46,99,0.9998836517333984
462,277,0.9998682737350464
170,8,0.9998656511306764
312,405,0.9998644590377808
658,371,0.9998594522476196
517,8,0.9998488426208496
267,208,0.9998377561569214
22,94,0.9998339414596558
170,89,0.9998304843902588
587,371,0.9998292922973632
75,133,0.9998291730880736
657,124,0.9998273849487304
591,405,0.999822199344635
321,88,0.9998181462287904
275,27,0.9998177886009216
564,405,0.9998051524162292
369,182,0.9998038411140442
610,99,0.9997988343238832
131,405,0.9997891783714294
484,280,0.9997854828834534
500,99,0.999777853488922
49,378,0.9997547268867492
501,371,0.9997513890266418
653,371,0.9997473359107972
294,89,0.9997366070747375
326,125,0.9997251629829408
11,99,0.9997196793556212
275,188,0.999711811542511
166,99,0.9997091889381408
69,8,0.9997034668922424
650,371,0.9996800422668456
170,379,0.9996278285980223
176,280,0.9996218681335448
351,162,0.999613344669342
430,405,0.9996080994606018
275,372,0.999606430530548
241,247,0.9996015429496764
654,371,0.9995972514152528
199,280,0.9995965361595154
508,3,0.999586284160614
8,404,0.9995831847190856
552,202,0.99954754114151
166,134,0.9995256662368774
153,24,0.999517560005188
105,37,0.9995118379592896
459,245,0.99950909614563
21,99,0.999502420425415
275,244,0.9994927644729614
268,117,0.9994896650314332
387,6,0.999470055103302
606,405,0.9994683861732484
0,168,0.9994630217552184
261,24,0.999433696269989
462,208,0.9994243383407592
301,124,0.9994227886199952
240,405,0.9994176626205444
87,48,0.9994157552719116
236,8,0.9994025230407716
49,149,0.9994003772735596
227,277,0.9993977546691896
512,405,0.999373733997345
306,222,0.9993541836738586
541,124,0.999351441860199
478,163,0.9993390440940856
