2026-06-10 14:52:06,486 - INFO - Namespace(device_id=None, dataset='Cdataset', BERT_emb=False, LLM_emb=True, saved_path='../result\\GCN\\Cdataset_graph_ae_LLM_5000_0.4_128\\0\\hidden_exprr_ratio_0.05', seed=0, nfold=5, epoch=5000, learning_rate=0.01, weight_decay=0.0, patience=100, feature_type='LLM', concatenate_type='graph_ae', hidden_feats=128, dropout=0.4, drug_in_feats=1024, disease_in_feats=768, exp_name='GCN', hidden_ratio=0.05, threshold=0.5, dr_fingerprint=False, dis_prot_assoc=True)
2026-06-10 14:52:06,487 - INFO - 
[Hidden-Link Experiment]  hidden_ratio = 0.05
2026-06-10 14:52:06,531 - INFO - Total positives: 2532  |  Hidden: 127  |  Visible: 2405
2026-06-10 14:52:07,081 - INFO - 5-Cross Validation: Fold 1
2026-06-10 14:52:07,805 - INFO - Graph(num_nodes={'disease': 409, 'drug': 663},
      num_edges={('disease', 'di_di', 'disease'): 6507, ('disease', 'di_dr', 'drug'): 2405, ('drug', 'dr_di', 'disease'): 2405, ('drug', 'dr_dr', 'drug'): 10582},
      metagraph=[('disease', 'disease', 'di_di'), ('disease', 'drug', 'di_dr'), ('drug', 'disease', 'dr_di'), ('drug', 'drug', 'dr_dr')])
2026-06-10 14:52:07,945 - INFO - Train: 216933  |  Test: 54234  (pos 1924, neg 481)
2026-06-10 14:52:25,787 - INFO - Loss pos weight: 111.751
2026-06-10 14:52:37,271 - INFO - Epoch 50 Loss: 0.644; Train AUC 0.937; AUC 0.820; AUPR: 0.073
2026-06-10 14:52:50,767 - INFO - Epoch 100 Loss: 0.479; Train AUC 0.964; AUC 0.846; AUPR: 0.088
2026-06-10 14:53:04,666 - INFO - Epoch 150 Loss: 0.376; Train AUC 0.976; AUC 0.845; AUPR: 0.120
2026-06-10 14:53:19,911 - INFO - Epoch 200 Loss: 0.297; Train AUC 0.984; AUC 0.878; AUPR: 0.158
2026-06-10 14:53:34,603 - INFO - Epoch 250 Loss: 0.259; Train AUC 0.987; AUC 0.873; AUPR: 0.200
2026-06-10 14:53:48,373 - INFO - Epoch 300 Loss: 0.229; Train AUC 0.989; AUC 0.876; AUPR: 0.205
2026-06-10 14:54:03,117 - INFO - Epoch 350 Loss: 0.196; Train AUC 0.992; AUC 0.882; AUPR: 0.249
2026-06-10 14:54:15,458 - INFO - Epoch 400 Loss: 0.197; Train AUC 0.992; AUC 0.868; AUPR: 0.245
2026-06-10 14:54:29,347 - INFO - Epoch 450 Loss: 0.177; Train AUC 0.993; AUC 0.897; AUPR: 0.229
2026-06-10 14:54:43,669 - INFO - Epoch 500 Loss: 0.164; Train AUC 0.994; AUC 0.886; AUPR: 0.310
2026-06-10 14:54:57,223 - INFO - Epoch 550 Loss: 0.153; Train AUC 0.995; AUC 0.884; AUPR: 0.302
2026-06-10 14:55:09,479 - INFO - Epoch 600 Loss: 0.148; Train AUC 0.995; AUC 0.900; AUPR: 0.279
2026-06-10 14:55:22,462 - INFO - Epoch 650 Loss: 0.147; Train AUC 0.995; AUC 0.892; AUPR: 0.311
2026-06-10 14:55:35,386 - INFO - Epoch 700 Loss: 0.137; Train AUC 0.995; AUC 0.894; AUPR: 0.289
2026-06-10 14:55:48,173 - INFO - Epoch 750 Loss: 0.143; Train AUC 0.995; AUC 0.887; AUPR: 0.326
2026-06-10 14:56:01,466 - INFO - Epoch 800 Loss: 0.135; Train AUC 0.996; AUC 0.880; AUPR: 0.292
2026-06-10 14:56:14,151 - INFO - Epoch 850 Loss: 0.131; Train AUC 0.996; AUC 0.903; AUPR: 0.329
2026-06-10 14:56:26,971 - INFO - Epoch 900 Loss: 0.123; Train AUC 0.996; AUC 0.894; AUPR: 0.301
2026-06-10 14:56:41,908 - INFO - Epoch 950 Loss: 0.117; Train AUC 0.997; AUC 0.885; AUPR: 0.341
2026-06-10 14:56:56,216 - INFO - Epoch 1000 Loss: 0.115; Train AUC 0.997; AUC 0.892; AUPR: 0.345
2026-06-10 14:57:10,373 - INFO - Epoch 1050 Loss: 0.109; Train AUC 0.997; AUC 0.882; AUPR: 0.316
2026-06-10 14:57:24,883 - INFO - Epoch 1100 Loss: 0.119; Train AUC 0.997; AUC 0.897; AUPR: 0.355
2026-06-10 14:57:40,320 - INFO - Epoch 1150 Loss: 0.107; Train AUC 0.997; AUC 0.880; AUPR: 0.367
2026-06-10 14:57:54,827 - INFO - Epoch 1200 Loss: 0.115; Train AUC 0.997; AUC 0.895; AUPR: 0.325
2026-06-10 14:58:09,506 - INFO - Epoch 1250 Loss: 0.102; Train AUC 0.997; AUC 0.895; AUPR: 0.358
2026-06-10 14:58:22,035 - INFO - Epoch 1300 Loss: 0.098; Train AUC 0.997; AUC 0.887; AUPR: 0.359
2026-06-10 14:58:33,764 - INFO - Epoch 1350 Loss: 0.103; Train AUC 0.997; AUC 0.879; AUPR: 0.341
2026-06-10 14:58:45,767 - INFO - Epoch 1400 Loss: 0.094; Train AUC 0.997; AUC 0.892; AUPR: 0.353
2026-06-10 14:58:58,381 - INFO - Epoch 1450 Loss: 0.104; Train AUC 0.997; AUC 0.895; AUPR: 0.322
2026-06-10 14:59:11,388 - INFO - Epoch 1500 Loss: 0.089; Train AUC 0.998; AUC 0.884; AUPR: 0.357
2026-06-10 14:59:24,547 - INFO - Epoch 1550 Loss: 0.093; Train AUC 0.998; AUC 0.886; AUPR: 0.325
2026-06-10 14:59:36,811 - INFO - Epoch 1600 Loss: 0.097; Train AUC 0.998; AUC 0.893; AUPR: 0.362
2026-06-10 14:59:49,309 - INFO - Epoch 1650 Loss: 0.085; Train AUC 0.998; AUC 0.897; AUPR: 0.422
2026-06-10 15:00:02,526 - INFO - Epoch 1700 Loss: 0.089; Train AUC 0.998; AUC 0.888; AUPR: 0.361
2026-06-10 15:00:15,506 - INFO - Epoch 1750 Loss: 0.086; Train AUC 0.998; AUC 0.878; AUPR: 0.340
2026-06-10 15:00:28,673 - INFO - Epoch 1800 Loss: 0.086; Train AUC 0.998; AUC 0.879; AUPR: 0.394
2026-06-10 15:00:41,662 - INFO - Epoch 1850 Loss: 0.091; Train AUC 0.998; AUC 0.891; AUPR: 0.372
2026-06-10 15:00:54,050 - INFO - Epoch 1900 Loss: 0.081; Train AUC 0.998; AUC 0.874; AUPR: 0.377
2026-06-10 15:01:06,967 - INFO - Epoch 1950 Loss: 0.080; Train AUC 0.998; AUC 0.888; AUPR: 0.395
2026-06-10 15:01:19,323 - INFO - Epoch 2000 Loss: 0.078; Train AUC 0.998; AUC 0.890; AUPR: 0.359
2026-06-10 15:01:31,680 - INFO - Epoch 2050 Loss: 0.077; Train AUC 0.998; AUC 0.884; AUPR: 0.389
